konto;bezeichnung
2326;Verluste aus dem Abgang von Gegen ständen
2339;Einstellungen in die steuerliche Rücklage nach
2342;Einstellungen in die steuerliche Rücklage nach
2343;Einstellungen in die steuerliche Rücklage nach
2344;Einstellungen in die Rücklage für
2345;Einstellungen in steuerliche Rücklagen übrige / nicht zuordenba re Einstellung
2348;ande re ordentliche / nicht zuordenba re
2350;Sonstige Grundstücksaufwendungen (neutral)
2375;Sonstige Steuern Grundsteuer sonstige Steuern
2380;Sonstige betriebliche Aufwendungen Zuwendungen , Spenden , steuerlich nicht
2381;Zuwendungen , Spenden für wissenschaftliche
2382;Zuwendungen , Spenden für mildtätige Zwecke
2383;Zuwendungen , Spenden für kirchliche,
2384;Zuwendungen , Spenden an politische Parteien
2387;Zuwendungen , Spenden an Stiftungen für
2388;Zuwendungen , Spenden an Stiftungen für
2389;Zuwendungen , Spenden an Stiftungen für
2390;Zuwendungen , Spenden an Stiftungen für
2400;Forderungsverluste (übliche Höhe) übliche Abschreibungen auf
2401;Forderungsverluste 7 % USt (übliche Höhe)
2402;Forderungsverluste aus steuerfreien EU-
2403;Forderungsverluste aus im Inland
2404;Forderungsverluste aus im Inland
2405;Forderungsverluste 16 % USt (übliche Höhe)
2406;Forderungsverluste 19 % USt (übliche Höhe)
2407;Sonstige betriebliche Aufwendungen Forderungsverluste 15 % USt (übliche Höhe) U übliche Abschreibungen auf
2408;Forderungsverluste aus im Inland
2409;Forderungsverluste aus im Inland
2430;Abschreibung auf
2431;Forderungsverluste 7 % USt (soweit unüb lich
2435;Forderungsverluste 16 % USt (soweit unüb lich
2436;Forderungsverluste 19 % USt (soweit unüb lich
2437;Forderungsverluste 15 % USt (soweit unüb lich
2440;Abschreibungen auf Forderungen gegenübe r
2450;Sonstige betriebliche Aufwendungen Einstellung in die Pauschalwertberichtigung
2451;Einstellung in die Einzelwertberichtigung auf
2480;Einstellungen in die Rücklage für
2490;Aufwendungen aus Verlustübernahme Aufwendungen aus Verlustübernahme GK Aufwendungen aus Verlustübernahmen
2492;Auf Grund einer Gewinnge meinschaft,
2493;Abgeführte Gewinne an stille Gesellschafter §
2494;Abgeführte Gewinne auf Grund eines Gewinn-
2497;Einstellungen in satzungsmäßige
2498;Einstellungen in die Rücklage für
2499;Einstellungen in ande re
2500;Außerordentliche Erträge Außerordentliche Erträge ande re außerordentliche Erträge
2501;Außerordentliche Erträge finanzwirksam
2504;Erträge durch Verschmelzung und
2505;Außerordentliche Erträge nicht finanzwirksam ande re außerordentliche Erträge
2506;Erträge durch den Verkauf von bedeu tenden
2507;Erträge durch den Verkauf von bedeu tenden
2508;Gewinn aus der Veräußerung oder der
2510;Sonstige betriebliche Erträge Sonstige betriebsfremde Erträge ande re sonstige betriebliche Erträge
2520;Perioden fremde Erträge (soweit nicht
2590;Außerordentliche Erträge Außerordentliche Erträge aus der Anwendung
2591;Außerordentliche Erträge aus der Anwendung
2592;Außerordentliche Erträge aus der Anwendung
2593;Außerordentliche Erträge aus der Anwendung
2594;Außerordentliche Erträge aus der Anwendung
2600;Erträge aus Beteiligungen Erträge aus Beteiligunge n Erträge aus Beteiligungen , nach
2603;Erträge aus Beteiligungen an
2615;Erträge aus Anteilen an Kapitalgesellschaften
2616;Erträge aus Anteilen an Kapitalgesellschaften
2618;Gewinnan teile aus gewerblichen und
2619;Erträge aus Beteiligungen an verbundenen
2620;Erträge aus ande ren Wertpapieren und
2621;Erträge aus Ausleihungen des
2622;Erträge aus Ausleihungen des
2623;Erträge aus Anteilen an
2625;Erträge aus Anteilen an Kapitalgesellschaften
2626;Erträge aus Anteilen an Kapitalgesellschaften
2640;Zins- und Dividendene rträge Zins- und Dividendene rträge
2641;Erhaltene Ausgleichszahlungen (als
2646;Erträge aus Anteilen an
2647;Erträge aus ande ren Wertpapieren des
2648;Erträge aus ande ren Wertpapieren des
2649;Erträge aus ande ren Wertpapieren und
2650;Sonstige Zinsen und ähnliche Erträge Sonstige Zinsen und ähnliche Erträge Zinsen auf Einlagen bei Kreditinstituten
2653;Zinserträge § 233a AO, § 4 Abs. 5b EStG,
2654;Erträge aus ande ren Wertpapieren und
2655;Erträge aus Anteilen an Kapitalgesellschaften
2656;Erträge aus Anteilen an Kapitalgesellschaften
2657;Zinserträge § 233a AO steuerpflichtig Zinsen auf Einlagen bei Kreditinstituten
2659;Sonstige Zinsen und ähnliche Erträge aus
2660;Sonstige betriebliche Erträge Erträge aus der Währungsumrechnun g Kurs-/Währungsgewinne
2661;Erträge aus der Währungsumrechnung (nicht
2666;Erträge aus Bewertung Finanzmittelfonds
2670;Sonstige Zinsen und ähnliche Erträge Diskonterträge Diskonterträge
2679;Diskonterträge aus verbundenen Unternehmen
2680;Zinsähnliche Erträge Zinsen auf Einlagen bei Kreditinstituten
2682;Steuerfreie Zinserträge aus der Abzinsung von
2683;Sonstige Zinsen und ähnliche Erträge Zinserträge aus der Abzinsung von
2684;Zinserträge aus der Abzinsung von
2685;Zinserträge aus der Abzinsung von
2686;Sonstige Zinsen und ähnliche Erträge
2687;Erträge aus Vermögen sgegen ständen zur
2689;Sonstige Zinsen und ähnliche Erträge Zinsähnliche Erträge aus verbundenen
2700;Sonstige betriebliche Erträge Andere betriebs- und/oder perioden fremde
2705;Sonstige betriebliche und regelmäßige Erträge
2707;Sonstige Erträge betriebsfremd und regelmäßig
2709;Sonstige Erträge unregelmäßig
2710;Erträge aus Zuschreibungen des
2711;Erträge aus Zuschreibungen des immateriellen
2712;Erträge aus Zuschreibungen des
2713;Erträge aus Zuschreibungen des
2714;Erträge aus Zuschreibungen § 3 Nr. 40 EStG/§
2715;Erträge aus Zuschreibungen des
2716;Erträge aus Zuschreibungen des
2720;Erträge aus dem Abgang von Gegen ständen
2723;Erträge aus der Veräußerung von Anteilen an
2725;Erträge aus dem Abgang von Gegen ständen
2726;Erträge aus dem Abgang von Gegen ständen
2727;Erträge aus der Auflösung einer steuerlichen
2728;Erträge aus der Auflösung einer steuerlichen
2729;Erträge aus der Auflösung der Rücklage für
2730;Erträge aus der Herabsetzung der
2731;Erträge aus der Herabsetzung der
2732;Erträge aus abge schriebenen Forderunge n Zahlungseingänge auf in früheren
2734;SB Erträge aus der Herabsetzung von
2735;Erträge aus der Auflösung von Rückstellunge n Erträge aus der Auflösung von
2736;Erträge aus der Herabsetzung von
2737;Erträge aus der Auflösung einer steuerlichen
2738;Erträge aus der Auflösung von steuerlichen
2739;Erträge aus der Auflösung von steuerlichen
2740;Erträge aus der Auflösung einer steuerlichen
2741;Sonstige betriebliche Erträge Erträge aus der Auflösung steuerrechtlicher
2742;Versicherungsentschädigungen und
2743;Investitionszuschüsse (steuerpflichtig) Zuschüsse und Zulagen
2744;Investitionszulagen (steuerfrei)
2746;Steuerfreie Erträge aus der Auflösung von
2747;Sonstige steuerfreie Betriebseinnah men GK ande re sonstige betriebliche Erträge
2749;Erstattungen Aufwendung sausgleichsgesetz Versicherungsentschädigungen und
2750;Grundstückserträge Nebene rlöse aus Vermietung und
2751;Erlöse aus Vermietung und Verpachtung,
2752;Erlöse aus Vermietung und Verpachtung 19%
2760;Erträge aus der Aktivierung unen tgeltlich
2762;Kostenerstattungen , Rückvergütungen und
2764;Erträge aus Verwaltungskostenumlagen Erträge aus Verwaltungskostenumlagen
2790;Erträge aus Verlustübernahme Erträge aus Verlustübernahme K Erträge aus Verlustübernahme
2792;Auf Grund einer Gewinnge meinschaft,
2794;Erhaltene Gewinne auf Grund eines Gewinn-
2797;Entnahmen aus satzungsmäßigen
2798;Entnahmen aus der Rücklage für
2799;Entnahmen aus ande ren
2840;Entnahmen aus der Rücklage für
2860;Sonstige Passiva Gewinnvortrag nach Verwendun g Aufzulösende r Auffangpo sten
2868;Verlustvortrag nach Verwendun g
2890;Sonstige betriebliche Aufwendungen Verrechneter kalkulatorischer Unternehmerlohn ande re ordentliche / nicht zuordenba re
2891;Verrechnete kalkulatorische Miete/Pacht
2892;Verrechnete kalkulatorische Zinsen
2893;Verrechnete kalkulatorische Abschreibunge n
2894;Verrechnete kalkulatorische Wagnisse
2895;Verrechneter kalkulatorischer Lohn für
2900;ande re sonstige betriebliche
3000;Aufwendungen für Roh-, Hilfs- und
3060;Einkauf Roh-, Hilfs- und Betriebsstoffe,
3066;Einkauf Roh-, Hilfs- und Betriebsstoffe,
3067;Einkauf Roh-, Hilfs- und Betriebsstoffe,
3070;Einkauf Roh-, Hilfs- und Betriebsstoffe 5,5%
3071;Einkauf Roh-, Hilfs- und Betriebsstoffe 10,7%
3075;Einkauf Roh-, Hilfs- und Betriebsstoffe aus
3076;Einkauf Roh-, Hilfs- und Betriebsstoffe aus
3089;Erwerb Roh-, Hilfs- und Betriebsstoffe als
3090;Energiestoffe (Fertigung ) Aufwendungen ohne Zuordnung nach
3091;Energiestoffe (Fertigung ) 7% Vorsteuer Aufwand zum ermäßigten Steuersatz
3092;Energiestoffe (Fertigung ) 19% Vorsteuer Aufwand zum Regelsteuersatz
3100;Aufwendungen für bezogene
3106;Fremdleistungen 19% Vorsteuer Übrige Leistungen mit Vorsteuerabzug
3108;Fremdleistungen 7% Vorsteuer
3109;Fremdleistungen ohne Vorsteuer Übrige Leistungen ohne Vorsteuerabzug
3110;Bauleistungen eines im Inland ansässigen
3113;Sonstige Leistungen eines im ande ren EU-
3115;Leistungen eines im Ausland ansässigen
3123;Sonstige Leistungen eines im ande ren EU-
3124;Aufwendungen für bezogene
3130;Bauleistungen eines im Inland ansässigen
3133;Sonstige Leistungen eines im ande ren EU-
3135;Leistungen eines im Ausland ansässigen
3143;Sonstige Leistungen eines im ande ren EU-
3150;Erhaltene Skonti aus Leistungen , für die als
3151;Erhaltene Skonti aus Leistungen , für die als
3153;Erhaltene Skonti aus Leistungen , für die als
3154;Erhaltene Skonti aus Leistungen , für die als
3160;Leistungen nach § 13b UStG mit
3165;Leistungen nach § 13b UStG ohne
3200;Aufwendungen für Roh-, Hilfs- und
3430;Innergemeinschaftlicher Erwerb ohne
3435;Innergemeinschaftlicher Erwerb ohne
3440;Aufwendungen für Roh-, Hilfs- und
3550;Steuerfreier innergemeinschaftlicher Erwerb U Innergemeinschaftliche Erwerbe
3551;Wareneingang im Drittland steuerbar Wareneinkauf ohne Zuordnung nach
3552;Erwerb 1. Abneh mer innerhalb eines
3553;Erwerb Waren als letzter Abneh mer innerhalb
3558;Wareneingang im ande ren EU-Land steuerbar Wareneinkauf ohne Zuordnung nach
3559;Steuerfreie Einfuhren
3560;Waren aus einem Umsatzsteuerlager, § 13a
3565;Waren aus einem Umsatzsteuerlager, § 13a
3700;Nachlässe
3701;Nachlässe aus Einkauf Roh-, Hilfs- und
3714;Nachlässe aus Einkauf Roh-, Hilfs- und
3715;Nachlässe aus Einkauf Roh-, Hilfs- und
3717;Nachlässe aus Einkauf Roh-, Hilfs- und
3718;Nachlässe aus Einkauf Roh-, Hilfs- und
3722;Nachlässe 16 % Vorsteuer Wareneinkauf ohne Zuordnung nach
3723;Nachlässe 15 % Vorsteuer
3724;Nachlässe aus innergemeinschaftlichem
3725;Nachlässe aus innergemeinschaftlichem
3726;Nachlässe aus innergemeinschaftlichem
3727;Aufwendungen für Roh-, Hilfs- und
3730;Erhaltene Skonti Wareneinkauf ohne Zuordnung nach
3731;Erhaltene Skonti 7 % Vorsteuer Wareneinkauf zum ermäßigten
3733;Erhaltene Skonti aus Einkauf Roh-, Hilfs- und
3734;Erhaltene Skonti aus Einkauf Roh-, Hilfs- und
3736;Erhaltene Skonti 19 % Vorsteuer Wareneinkauf zum Regelsteuersatz
3738;Erhaltene Skonti aus Einkauf Roh-, Hilfs- und
3741;Erhaltene Skonti aus Einkauf Roh-, Hilfs- und
3743;Erhaltene Skonti aus Einkauf Roh-, Hilfs- und
3744;Erhaltene Skonti aus Einkauf Roh-, Hilfs- und
3745;Erhaltene Skonti aus steuerpflichtigem
3746;Erhaltene Skonti aus steuerpflichtigem
3748;Erhaltene Skonti aus steuerpflichtigem
3753;Erhaltene Boni aus Einkauf Roh-, Hilfs- und
3754;Erhaltene Boni aus Einkauf Roh-, Hilfs- und
3755;Erhaltene Boni aus Einkauf Roh-, Hilfs- und
3769;Erhaltene Boni Wareneinkauf ohne Zuordnung nach
3770;Erhaltene Rabatte
3783;Erhaltene Rabatte aus Einkauf Roh-, Hilfs- und
3784;Erhaltene Rabatte aus Einkauf Roh-, Hilfs- und
3785;Erhaltene Rabatte aus Einkauf Roh-, Hilfs- und
3788;Erhaltene Skonti aus Einkauf Roh-, Hilfs- und
3792;Aufwendungen für Roh-, Hilfs- und
3793;Erhaltene Skonti aus Erwerb Waren als letzter
3794;Erhaltene Skonti 5,5% Vorsteuer Wareneinkauf ohne Zuordnung nach
3796;Erhaltene Skonti 10,7% Vorsteuer1)
3798;Erhaltene Skonti aus Einkauf Roh-, Hilfs- und
3800;Bezugsneben kosten Anschaffungsneben kosten
3830;Leergut
3850;Zölle und Einfuhrabgabe n
4100;Löhne und Gehälter Löhne und Gehälter übrige und nicht zuordenba re Löhne
4110;Löhn e
4120;Gehälter
4125;Ehega ttengeha lt
4127;Geschäftsführergehä lter
4128;Vergütungen an ange stellte Mitunternehmer §
4129;Tantiemen Arbeitnehmer K übrige und nicht zuordenba re Löhne
4130;Soziale Abgaben und Aufwendungen
4137;Gesetzliche soziale Aufwendungen für
4138;Beiträge zur Berufsgeno ssenschaft soziale Abgabe n
4139;Sonstige betriebliche Aufwendungen Ausgleichsabgabe i. S. d.
4140;Soziale Abgaben und Aufwendungen
4141;Sonstige soziale Abgabe n
4144;Soziale Abgaben für Minijobbe r1)
4145;Löhne und Gehälter Freiwillige soziale Aufwendungen ,
4146;Freiwillige Zuwendungen an Minijobbe r Löhne für Minijobs
4148;Freiwillige Zuwendungen an ange stellte
4149;Pauschale Steuer auf sonstige Bezüge (z. B.
4150;Krankenge ldzuschüsse
4151;Sachzuwendungen und Dienstleistungen an
4152;Sachzuwendungen und Dienstleistungen an
4154;Sachzuwendungen und Dienstleistungen an
4155;Zuschüsse der Agenturen für Arbeit (Haben ) übrige und nicht zuordenba re Löhne
4160;Soziale Abgaben und Aufwendungen
4165;Aufwendungen für Altersversorgung
4167;Pauschale Steuer auf sonstige Bezüge (z. B.
4168;Aufwendungen für Altersversorgung für
4169;Aufwendungen für Unterstützung Aufwendungen für Unterstützung
4170;Löhne und Gehälter Vermögen swirksame Leistunge n übrige und nicht zuordenba re Löhne
4175;Fahrtkostenerstattung Wohnung /Arbeitsstätte
4180;Bedienung sgelder
4190;Aushilfslöhne
4194;Pauschale Steuern für Minijobbe r Löhne für Minijobs8)
4195;Löhne für Minijobs
4197;Pauschale Steuern für ange stellte
4198;Pauschale Steuern für Arbeitnehmer übrige und nicht zuordenba re Löhne
4199;Pauschale Steuer für Aushilfen
4200;Sonstige betriebliche Aufwendungen Raumkosten ande re ordentliche / nicht zuordenba re
4210;Miete (unbe wegliche Wirtschaftsgüter) GK Übrige / nicht zuordenba re Miete und
4211;Aufwendungen für gemietete oder gepa chtete
4212;Miete/Aufwendungen für doppe lte
4215;Leasing (unbe wegliche Wirtschaftsgüter) GK übrige Leasingau fwendunge n
4219;Vergütungen an Mitunternehmer für die
4220;Sonstige betriebliche Aufwendungen Pacht (unbe wegliche Wirtschaftsgüter) GK Übrige / nicht zuordenba re Miete und
4228;Miet- und Pachtneben kosten
4229;Vergütungen an Mitunternehmer für die
4230;Heizung Aufwendungen für Energie
4240;Gas, Strom, Wasser
4250;Reinigung ande re ordentliche / nicht zuordenba re
4260;Instandha ltung betrieblicher Räume Aufwand für Fremdreparaturen und
4270;Abgaben für betrieblich genu tzten Grundbe sitz ande re ordentliche / nicht zuordenba re
4280;Sonstige Raumkosten
4288;Aufwendungen für ein häusliches
4289;Aufwendungen für ein häusliches
4290;Grundstücksaufwendungen betrieblich Aufwand für Fremdreparaturen und
4300;Nicht abziehba re Vorsteuer sonstige Steuern, soweit in den
4301;Nicht abziehba re Vorsteuer 7 %
4306;Nicht abziehba re Vorsteuer 19 %
4320;Steuern vom Einkommen und Ertrag Gewerbesteuer GK Steuern vom Einkommen und vom
4340;Sonstige Steuern Sonstige Betriebssteuern sonstige Steuern
4350;Verbrauchsteuer
4355;Ökosteuer
4360;Sonstige betriebliche Aufwendungen Versicherunge n Versicherungsprämien, Gebüh ren und
4366;Versicherungen für Gebäud e
4370;Netto-Prämie für Rückdeckung künftiger
4380;Beiträge
4390;Sonstige Abgabe n
4396;Steuerlich abzugsfähige
4397;Steuerlich nicht abzugsfähige
4500;Fahrzeugkosten Aufwendungen für den Fuhrpark18)
4510;Sonstige Steuern Kfz-Steuer sonstige Steuern
4520;Sonstige betriebliche Aufwendungen Kfz-Versicherunge n Aufwendungen für den Fuhrpark
4530;Laufende Kfz-Betriebskosten
4540;Kfz-Reparaturen
4550;Garagen miete
4560;Mautgebüh ren
4570;Mietleasing Kfz GK Leasing für bewegliche Wirtschaftsgüter
4580;Sonstige Kfz-Kosten Aufwendungen für den Fuhrpark
4590;Kfz-Kosten für betrieblich genu tzte zum
4595;Fremdfahrzeugkosten
4600;Werbekosten Werbeau fwand
4605;Streuartikel
4630;Geschenke abzugsfähig ohne § 37b EStG Geschenke abziehba r
4631;Geschenke abzugsfähig mit § 37b EStG
4632;Pauschale Steuern für Geschenke und
4635;Geschenke nicht abzugsfähig ohne § 37b EStG GK Geschenke nicht abziehba r
4636;Geschenke nicht abzugsfähig mit § 37b EStG
4637;Pauschale Steuern für Geschenke und
4638;Geschenke ausschließlich betrieblich genu tzt Geschenke abziehba r
4639;Zugaben mit § 37b EStG Werbeau fwand
4640;Repräsentationskosten ande re ordentliche / nicht zuordenba re
4650;Bewirtungskosten Bewirtungskosten (gesamt)
4651;Sonstige betriebliche Aufwendungen Sonstige eingeschränkt abziehba re
4652;Sonstige eingeschränkt abziehba re
4653;Aufmerksamkeiten Werbeau fwand
4654;Nicht abzugsfähige Bewirtungskosten GK Bewirtungskosten (gesamt)
4655;Nicht abzugsfähige Betriebsausgaben aus
4660;Reisekosten Arbeitnehmer Reisekosten Arbeitnehmer
4663;Reisekosten Arbeitnehmer Fahrtkosten
4664;Reisekosten Arbeitnehmer
4666;Reisekosten Arbeitnehmer
4668;Kilometergelderstattung Arbeitnehmer
4670;Reisekosten Unternehmer Reisekosten Unternehmer18)
4672;Reisekosten Unternehmer (nicht abziehba rer
4673;Reisekosten Unternehmer Fahrtkosten
4674;Reisekosten Unternehmer
4676;Reisekosten Unternehmer
4678;Fahrten zwischen Wohnung und Betriebsstätte
4679;Fahrten zwischen Wohnung und Betriebsstätte
4680;Fahrten zwischen Wohnung und Betriebsstätte
4681;Verpflegung smehraufwendungen im Rahmen
4700;Kosten der Warenabgab e Frachten / Verpackung
4710;Verpackungsmaterial
4730;Ausgang sfrachten
4750;Transportversicherunge n
4760;Verkaufsprovisionen Provisionen
4780;Fremdarbeiten (Vertrieb) ande re ordentliche / nicht zuordenba re
4790;Aufwand für Gewährleistunge n
4800;Reparaturen und Instandha ltung von
4801;Reparaturen und Instandha ltung von Bauten Aufwand für Fremdreparaturen und
4805;Reparaturen und Instandha ltungen von
4806;Wartungskosten für Hard- und Software
4808;Zuführung zu Aufwandsrückstellunge n Zuführungen zu Aufwandsrückstellunge n
4809;Sonstige Reparaturen und Instandha ltunge n Aufwand für Fremdreparaturen und
4810;Mietleasing (bewegliche Wirtschaftsgüter) GK Leasing für bewegliche Wirtschaftsgüter
4815;Abschreibungen auf immaterielle
4820;Abschreibungen auf Aufwendungen für die
4822;Abschreibungen auf immaterielle
4823;Abschreibungen auf selbst geschaffene
4824;Abschreibungen auf immaterielle
4825;Außerplanmäßige Abschreibungen auf den
4826;Außerplanmäßige Abschreibungen auf
4827;Außerplanmäßige Abschreibungen auf selbst
4830;Abschreibungen auf Sachanlagen (ohne AfA
4831;Abschreibungen auf Gebäud e
4832;Abschreibungen auf Kfz
4833;Abschreibungen auf Gebäudean teil des
4840;Außerplanmäßige Abschreibungen auf
4841;Absetzung für außergewöhnliche technische
4842;Absetzung für außergewöhnliche technische
4843;Absetzung für außergewöhnliche technische
4850;Abschreibungen auf Sachanlagen auf Grund
4851;Sonde rabschreibungen nach § 7g Abs. 5 EStG
4852;Sonde rabschreibungen nach § 7g Abs. 5 EStG
4853;Kürzung der Anschaffungs- oder
4854;Kürzung der Anschaffungs- oder
4855;Sofortabschreibung geringwertiger
4860;Abschreibungen auf aktivierte, geringwertige
4862;Abschreibungen auf den Sammelposten
4865;Außerplanmäßige Abschreibungen auf
4866;Abschreibungen auf Finanzanlagen
4870;Abschreibungen auf Finanzanlagen (daue rhaft) Abschreibungen auf Finanzanlagen
4871;Abschreibungen auf Finanzanlagen § 3 Nr. 40
4872;Aufwendungen auf Grund von Verlustanteilen
4873;Abschreibungen auf Finanzanlagen auf Grund
4874;Abschreibungen auf Finanzanlagen auf Grund
4875;Abschreibungen auf Wertpapiere des
4876;Abschreibungen auf Wertpapiere des
4877;Abschreibungen auf Finanzanlagen -
4878;Abschreibungen auf Wertpapiere des
4880;Abschreibung auf
4882;Abschreibungen auf Umlaufvermögen ,
4885;Sonstige betriebliche Aufwendungen übliche Abschreibungen auf
4886;Abschreibungen auf Umlaufvermögen außer
4887;Abschreibungen auf Umlaufvermögen außer
4892;Abschreibungen auf Roh-, Hilfs- und
4893;Abschreibungen auf fertige und unfertige
4900;Sonstige betriebliche Aufwendungen Sonstige betriebliche Aufwendunge n ande re sonstige betriebliche
4902;Interimskonto für Aufwendungen in einem
4905;Sonstige Aufwendungen betrieblich und
4909;Fremdleistungen /Fremdarbeiten ande re ordentliche / nicht zuordenba re
4910;Porto Aufwendungen für Kommunikation
4920;Telefon
4925;Telefax und Internetkosten
4930;Bürobeda rf ande re ordentliche / nicht zuordenba re
4940;Zeitschriften, Bücher Fortbildung skosten
4945;Fortbildung skosten
4946;Freiwillige Sozialleistunge n sonstige Aufwendungen für Personal
4948;Vergütungen an Mitunternehmer § 15 EStG G ande re ordentliche / nicht zuordenba re
4949;Haftungsvergütung an Mitunternehmer § 15
4950;Rechts- und Beratungskosten Rechts- und Beratungskosten
4955;Buchführungskosten
4957;Abschluss- und Prüfungskosten
4959;Vergütungen an Mitunternehmer für die miet-
4960;Mieten für Einrichtungen (bewegliche
4961;Pacht (bewegliche Wirtschaftsgüter)
4963;Aufwendungen für gemietete oder gepa chtete
4964;Aufwendungen für die zeitlich befristete
4965;Mietleasing (bewegliche Wirtschaftsgüter) GK Leasing für bewegliche Wirtschaftsgüter
4969;Aufwendungen für Abraum- und
4970;Neben kosten des Geldverkehrs
4975;Aufwendungen aus Anteilen an
4976;Veräußerungskosten § 3 Nr. 40 EStG/§ 8b
4980;Sonstiger Betriebsbeda rf
4985;Werkzeuge und Kleingeräte
4990;Kalkulatorischer Unternehmerlohn
4991;Kalkulatorische Miete und Pacht
4992;Kalkulatorische Zinsen
4993;Kalkulatorische Abschreibunge n
4994;Sonstige betriebliche Aufwendungen Kalkulatorische Wagnisse ande re ordentliche / nicht zuordenba re
4995;Kalkulatorischer Lohn für unen tgeltliche
4996;Herstellungskosten
4997;Verwaltungskosten
4998;Vertriebskosten
4999;Gegen konto 4996 -4998
7000;Unfertige Erzeugn isse, unfertige
7050;Unfertige Erzeugn isse (Bestand)
7080;Unfertige Leistungen (Bestand)
7090;In Ausführung befindliche Bauau fträge In Ausführung befindliche Bauau fträge
7095;In Arbeit befindliche Aufträge In Arbeit befindliche Aufträge
7100;Fertige Erzeugn isse und Waren Fertige Erzeugn isse und Waren (Bestand) fertige Erzeugn isse und Waren
7110;Fertige Erzeugn isse (Bestand)
8100;Steuerfreie Umsätze § 4 Nr. 8 ff UStG U steuerfreie Umsätze nach § 4 Nr. 8 ff
8105;Steuerfreie Umsätze nach § 4 Nr. 12 UStG
8110;Sonstige steuerfreie Umsätze Inland U sonstige umsatzsteuerfreie Umsätze
8120;Steuerfreie Umsätze § 4 Nr. 1a UStG U steuerfreie Umsätze nach § 4 Nr. 1a
8125;Steuerfreie Innergemeinschaftliche
8130;Lieferungen des ersten Abneh mers bei
8135;Steuerfreie innergemeinschaftliche
8140;Steuerfreie Umsätze Offshore etc. U sonstige umsatzsteuerfreie Umsätze
8150;Sonstige steuerfreie Umsätze (z. B. § 4 Nr. 2-7
8160;Steuerfreie Umsätze ohne Vorsteuerabzug
8165;Steuerfreie Umsätze ohne Vorsteuerabzug
8190;Erlöse, die mit den Durchschnittssätzen des §
8191;Umsatzerlöse nach §§ 25 und 25a UStG 19%
8192;Umsatzerlöse Regelsteuersatz
8193;Umsatzerlöse nach §§ 25 und 25a UStG ohne
8194;Umsatzerlöse aus Reiseleistungen § 25 Abs. 2
8195;Erlöse als Kleinunternehmer i. S. d. § 19 Abs.
8196;Erlöse aus Geldspielautomaten 19 % USt U Umsatzerlöse Regelsteuersatz
8200;Erlöse Umsatzerlöse ohne Zuordnung nach
8330;Erlöse aus im Inland steuerpflichtigen EU-
8335;Erlöse aus Lieferungen von
8336;Erlöse aus im ande ren EU-Land
8337;Erlöse aus Leistungen , für die der
8338;Erlöse aus im Drittland steuerbaren
8339;Erlöse aus im ande ren EU-Land steuerbaren
8410;Erlöse 19 % USt
8507;Umsatzerlöse Umsatzerlöse Regelsteuersatz
8510;Provisionsumsätze Umsatzerlöse ohne Zuordnung nach
8514;Provisionsumsätze, steuerfrei § 4 Nr. 8 ff.
8515;Provisionsumsätze, steuerfrei § 4 Nr. 5 UStG U steuerfreie Umsätze nach § 4 Nr. 2-7
8516;Provisionsumsätze 7% USt U Umsatzerlöse ermäßigter Steuersatz
8519;Provisionsumsätze 19 % USt U Umsatzerlöse Regelsteuersatz
8520;Erlöse Abfallverwertung Umsatzerlöse ohne Zuordnung nach
8540;Erlöse Leergut
8570;Sonstige betriebliche Erträge Sonstige Erträge aus Provisionen , Lizenzen
8574;Sonstige Erträge aus Provisionen , Lizenzen
8575;Sonstige Erträge aus Provisionen , Lizenzen
8576;Sonstige Erträge aus Provisionen , Lizenzen
8579;Sonstige Erträge aus Provisionen , Lizenzen
8590;Verrechnete sonstige Sachbezüge (keine
8591;Sachbezüge 7 % USt (Waren)
8595;Sachbezüge 19 % USt (Waren)
8600;Sonstige Erlöse betrieblich und regelmäßig ande re sonstige betriebliche Erträge
8604;Erstattete Vorsteuer ande rer Lände r
8605;Sonstige Erträge betrieblich und regelmäßig
8606;Sonstige betriebliche Erträge von verbundenen
8607;Andere Nebene rlöse ande re Nebene rlöse
8609;Sonstige Erträge betrieblich und regelmäßig,
8610;Verrechnete sonstige Sachbezüge Sonstige Sachbezüge
8611;Verrechnete sonstige Sachbezüge aus Kfz-
8612;Sonstige Sachbezüge
8613;Verrechnete sonstige Sachbezüge 19 % USt
8614;Verrechnete sonstige Sachbezüge ohne
8649;Sonstige Erlöse betrieblich und regelmäßig 16
8650;Sonstige Zinsen und ähnliche Erträge Erlöse Zinsen und Diskontspesen Übrige / nicht zuordenba re sonstige
8660;Erlöse Zinsen und Diskontspesen aus
8700;Umsatzerlöse Erlösschmälerunge n in Umsatzerlöse (GKV) verrechnete
8705;Erlösschmälerungen aus steuerfreien
8723;Erlösschmälerungen 16 % USt
8724;Erlösschmälerungen aus steuerfreien
8725;Erlösschmälerungen aus im Inland
8726;Erlösschmälerungen aus im Inland
8727;Erlösschmälerungen aus im ande ren EU-Land
8729;Erlösschmälerungen aus im Inland
8730;Gewährte Skonti
8731;Gewährte Skonti 7 % USt
8736;Gewährte Skonti 19 % USt
8738;Gewährte Skonti aus Lieferungen von
8741;Gewährte Skonti aus Leistungen , für die der
8742;Gewährte Skonti aus Erlöse aus im ande ren
8743;Gewährte Skonti aus steuerfreien
8745;Gewährte Skonti aus im Inland
8746;Gewährte Skonti aus im Inland
8748;Gewährte Skonti aus im Inland
